1,weight,dam,gender,dose
2,6.6,1,male,control
3,7.4,1,male,control
4,7.15,1,male,control
5,7.24,1,male,control
6,7.1,1,male,control
7,6.04,1,male,control
8,6.98,1,male,control
9,7.05,1,male,control
10,6.95,1,female,control
11,6.29,1,female,control
12,6.77,1,female,control
13,6.57,1,female,control
14,6.37,2,male,control
15,6.37,2,male,control
16,6.9,2,male,control
17,6.34,2,male,control
18,6.5,2,male,control
19,6.1,2,male,control
20,6.44,2,male,control
21,6.94,2,male,control
22,6.41,2,male,control
23,5.92,2,female,control
24,6.04,2,female,control
25,5.82,2,female,control
26,6.04,2,female,control
27,5.96,2,female,control
28,7.5,3,male,control
29,7.08,3,male,control
30,7.57,3,female,control
31,7.27,3,female,control
32,6.25,4,male,control
33,6.93,4,male,control
34,6.8,4,male,control
35,6.69,4,male,control
36,6.28,4,male,control
37,6.27,4,male,control
38,6.27,4,male,control
39,6.47,4,male,control
40,6.29,4,female,control
41,5.98,4,female,control
42,6.32,4,female,control
43,6.28,4,female,control
44,5.65,4,female,control
45,5.57,4,female,control
46,7.96,5,male,control
47,6.84,5,male,control
48,7,5,male,control
49,8.1,5,male,control
50,6.52,5,male,control
51,7.23,5,male,control
52,6.1,5,male,control
53,7.31,5,male,control
54,7.16,5,female,control
55,7.09,5,female,control
56,7.14,5,female,control
57,5.02,5,female,control
58,6.04,5,female,control
59,8.26,6,male,control
60,7.73,6,male,control
61,8.33,6,male,control
62,6.14,6,male,control
63,7.75,6,male,control
64,6.96,6,male,control
65,7.26,6,female,control
66,6.58,6,female,control
67,3.68,6,female,control
68,6.29,7,male,control
69,6.32,7,male,control
70,6.28,7,male,control
71,6.24,7,male,control
72,6.78,7,male,control
73,6.63,7,male,control
74,6.27,7,male,control
75,6.29,7,male,control
76,6.06,7,male,control
77,6.16,7,female,control
78,5.96,7,female,control
79,6.26,7,female,control
80,5.83,7,female,control
81,6.11,7,female,control
82,6.45,7,female,control
83,6.25,7,female,control
84,6.31,7,female,control
85,5.74,7,female,control
86,6.04,8,male,control
87,5.84,8,male,control
88,6.77,8,male,control
89,5.59,8,male,control
90,5.52,8,male,control
91,6.42,8,male,control
92,5.97,8,male,control
93,6.34,8,male,control
94,6.23,8,female,control
95,5.95,8,female,control
96,6.16,8,female,control
97,6.19,8,female,control
98,5.32,8,female,control
99,5,8,female,control
100,6.3,8,female,control
101,5,8,female,control
102,5.56,8,female,control
103,5.37,9,male,control
104,5.58,9,male,control
105,5.51,9,male,control
106,5.19,9,male,control
107,5.34,9,male,control
108,5.77,9,male,control
109,5.17,9,male,control
110,4.57,9,male,control
111,5.39,9,male,control
112,5.62,9,male,control
113,5.4,9,male,control
114,5.77,9,male,control
115,5.24,9,male,control
116,5.37,9,female,control
117,5.33,9,female,control
118,5.44,9,female,control
119,5.14,9,female,control
120,7.3,10,male,control
121,6.6,10,male,control
122,6.58,10,male,control
123,6.68,10,male,control
124,6.46,10,male,control
125,6.38,10,male,control
126,6.44,10,female,control
127,6.67,10,female,control
128,6.43,10,female,control
129,6.53,10,female,control
130,5.92,10,female,control
131,6.52,10,female,control
132,6.44,10,female,control
133,5.65,11,male,low
